country,protocol,port,packet_size,duration_sec,vpn_connection,firewall_action,cloudflare_flag,endpoint_detected,user_id,service_target,year,month,day,hour,threat_type
2,0,3389,0.7777214960642757,0.24,0,allow,0,0,626,Formulario de denuncias,2021,10,5,0,2
2,0,80,0.1783941900020698,1.56,0,allow,0,0,668,Sistema de óptica,2021,11,15,0,4
5,2,110,0.20465953010838162,0.27,0,allow,0,1,367,Portal de constancias,2023,8,6,0,6
6,4,53,-0.4734637962727597,1.98,1,deny,0,1,112,Formulario de denuncias,2021,1,30,0,6
2,2,443,1.675518576061843,0.39,0,allow,0,0,249,Portal de constancias,2022,11,12,0,4
3,1,22,0.2691290012784197,2.39,0,allow,0,0,695,Formulario de denuncias,2020,6,19,0,5
6,2,3389,-1.4476691383977796,2.98,0,deny,1,0,217,Portal de constancias,2022,5,2,0,5
4,0,3389,-0.33497382116675195,4.1,0,allow,1,1,85,Sistema de óptica,2023,9,25,0,1
3,4,21,-0.8053621848888817,2.37,1,allow,0,0,75,Sistema de óptica,2022,4,17,0,1
6,4,21,-1.4452813802062967,0.93,0,allow,0,1,413,Formulario de denuncias,2019,1,7,0,1
2,2,110,1.3173548473394092,1.81,1,allow,1,0,401,Web institucional,2019,1,14,0,7
2,2,110,0.9639666349999413,0.96,0,deny,0,0,507,Web institucional,2024,12,3,0,6
1,4,22,0.8230889017024506,0.92,0,deny,0,0,281,Web institucional,2023,12,8,0,7
6,1,21,1.5489673919132498,2.27,0,allow,0,0,500,Formulario de denuncias,2024,7,21,0,2
5,2,443,-1.28291382318546,3.33,0,allow,0,0,22,Sistema de óptica,2024,5,17,0,2
6,0,110,0.5126803368096746,0.01,0,allow,0,1,398,Sistema de óptica,2020,5,23,0,3
1,4,3389,-0.9319133690374749,0.75,0,allow,0,1,455,Web institucional,2023,3,24,0,5
2,1,110,-1.4261793146744335,1.89,0,alert,0,1,488,Web institucional,2023,6,14,0,6
1,3,443,0.21898607925727895,1.85,0,allow,0,0,238,Formulario de denuncias,2023,10,31,0,0
6,0,80,-1.3879751836107073,1.02,0,allow,0,0,388,Formulario de denuncias,2024,11,16,0,2
4,4,22,1.6492532359555312,1.34,0,allow,0,0,596,Sistema de óptica,2024,10,22,0,0
6,2,22,0.8636807909576598,5.77,1,allow,0,0,165,Web institucional,2020,6,11,0,0
3,0,53,-0.4997291363790715,1.16,0,allow,0,0,563,Sistema de óptica,2022,5,29,0,7
3,1,22,0.7466806395749981,7.82,0,allow,0,0,556,Formulario de denuncias,2023,7,20,0,7
2,4,21,-0.7122396154210489,0.04,0,allow,0,0,356,Formulario de denuncias,2022,7,28,0,4
2,0,25,0.7920480452131731,0.46,0,allow,0,1,607,Formulario de denuncias,2020,7,22,0,7
4,2,53,-1.5240774005252322,0.57,0,deny,0,1,671,Sistema de óptica,2020,2,26,0,3
5,0,53,-1.438118105631848,0.67,0,allow,0,0,319,Portal de constancias,2019,2,16,0,5
2,0,22,0.5079048204267089,0.65,0,deny,0,0,15,Portal de constancias,2024,10,14,0,0
1,3,8080,-0.28244314095412837,1.62,0,deny,0,0,544,Portal de constancias,2020,1,3,0,1
5,1,53,-0.843566315952608,3.13,0,allow,0,0,12,Formulario de denuncias,2023,10,6,0,0
0,4,22,-1.2041178028665247,3.86,0,deny,0,0,496,Portal de constancias,2024,8,13,0,2
3,0,8080,1.0666402372337056,2.51,1,allow,1,1,287,Formulario de denuncias,2024,5,29,0,5
0,0,21,-1.2112810774409732,3.19,0,allow,0,0,55,Sistema de óptica,2021,1,24,0,1
2,1,110,0.5699865334052641,1.41,1,deny,0,0,111,Formulario de denuncias,2022,8,2,0,0
0,2,3389,0.6607213446816139,0.69,0,deny,0,0,449,Sistema de óptica,2024,1,7,0,1
0,2,110,-1.1253217825475892,1.21,0,allow,1,1,269,Sistema de óptica,2021,9,20,0,7
4,3,22,-1.6840571993545859,0.69,0,allow,0,0,291,Formulario de denuncias,2022,7,7,0,6
2,4,22,0.2882310668102828,2.43,0,alert,0,0,493,Sistema de óptica,2022,7,28,0,2
2,3,21,-0.9247500944630263,0.66,0,deny,0,1,12,Portal de constancias,2024,10,12,0,0
2,0,443,0.042291973087544954,2.07,0,allow,0,0,699,Portal de constancias,2021,9,19,0,5
2,3,25,-0.4519739725494137,0.13,0,allow,0,0,56,Web institucional,2023,12,19,0,7
1,1,80,-1.1897912537176274,3.63,0,deny,0,0,697,Web institucional,2019,8,19,0,3
3,3,3306,-0.8077499430803646,2.17,0,deny,0,1,488,Sistema de óptica,2022,2,19,0,5
6,4,3306,-1.2208321102069049,1.63,0,allow,0,0,565,Portal de constancias,2019,4,25,0,6
2,4,443,-0.49256586180462286,3.22,0,allow,0,0,377,Web institucional,2019,6,22,0,7
4,1,443,0.3932924272355301,0.52,1,allow,0,0,142,Sistema de óptica,2023,12,6,0,1
4,3,443,1.0952933355315002,1.49,0,alert,0,0,634,Formulario de denuncias,2024,3,15,0,4
0,3,21,1.0236605897870135,1.77,1,allow,0,0,113,Formulario de denuncias,2023,12,10,0,3
2,1,3306,-1.3354445033980837,2.84,0,deny,0,1,400,Formulario de denuncias,2019,8,9,0,5
3,2,53,-0.034116289039907585,1.65,0,alert,0,0,106,Web institucional,2024,9,21,0,5
5,4,8080,-0.03650404723139048,3.69,1,alert,1,0,264,Web institucional,2019,7,22,0,7
3,4,443,-0.9772807746756499,0.11,0,deny,0,1,164,Web institucional,2020,2,5,0,2
6,4,22,-0.034116289039907585,4.84,0,deny,0,0,521,Web institucional,2024,2,18,0,6
6,4,80,1.4892734371261775,0.72,0,deny,0,0,485,Web institucional,2021,4,22,0,2
6,0,443,1.0523136880848083,2.57,1,allow,0,0,273,Formulario de denuncias,2021,11,25,0,3
2,3,22,-0.9701175001012012,0.87,0,deny,0,0,134,Sistema de óptica,2022,6,5,0,6
4,0,25,-0.15589195680553508,1.64,0,deny,0,0,557,Formulario de denuncias,2020,3,12,0,3
4,4,22,1.56568169925363,0.94,0,allow,0,0,96,Formulario de denuncias,2022,1,31,0,5
4,3,25,-1.3187301960577034,3.62,1,deny,0,0,601,Portal de constancias,2023,1,13,0,5
2,0,21,-1.5670570479719241,3.03,1,deny,0,1,528,Sistema de óptica,2022,9,17,0,1
4,3,3306,-0.20603487882667582,0.81,0,alert,0,1,303,Sistema de óptica,2019,8,2,0,3
2,1,21,-0.5952394640383872,1.65,0,allow,0,0,652,Sistema de óptica,2020,10,7,0,2
2,4,80,-0.12485110031625749,1.49,1,allow,0,0,41,Sistema de óptica,2021,2,4,0,1
5,4,110,0.7060887503197889,3.16,1,allow,0,1,400,Portal de constancias,2024,2,21,0,4
2,3,53,-0.7003008244636344,1.23,0,allow,0,0,299,Formulario de denuncias,2020,11,4,0,7
4,3,25,-0.7647702956336725,2.84,0,deny,0,0,640,Portal de constancias,2020,3,9,0,1
1,2,8080,-0.22991246074150473,0.52,0,deny,0,0,695,Web institucional,2021,7,31,0,3
4,3,8080,1.5513551501047327,0.35,0,deny,0,0,374,Formulario de denuncias,2021,3,13,0,3
4,0,3306,0.7180275412772034,0.5,0,allow,1,1,500,Web institucional,2021,12,18,0,4
0,1,80,-0.7623825374421896,1.69,0,deny,0,0,338,Portal de constancias,2019,5,3,0,4
2,2,3306,-0.8722194142504026,1.56,0,deny,0,0,613,Sistema de óptica,2024,9,4,0,4
1,4,110,-1.6124244536100991,3.11,0,deny,0,0,361,Formulario de denuncias,2023,7,26,0,0
4,1,53,-0.28244314095412837,0.57,1,deny,0,1,300,Formulario de denuncias,2022,2,27,0,1
4,0,21,-1.657791859248274,0.17,0,allow,0,1,289,Formulario de denuncias,2021,3,8,0,7
0,4,25,-0.46391276350682814,0.15,0,deny,0,0,221,Portal de constancias,2019,8,1,0,7
2,2,25,1.5227020518069379,0.6,1,allow,0,0,225,Formulario de denuncias,2023,12,18,0,4
2,4,3389,0.48163948032039705,0.15,0,allow,0,0,368,Web institucional,2019,8,11,0,6
5,4,443,-1.306791405100289,2.59,0,allow,0,1,141,Formulario de denuncias,2020,6,25,0,5
6,2,22,1.5227020518069379,0.21,0,allow,0,1,456,Formulario de denuncias,2021,7,20,0,7
2,1,110,1.2743751998927173,1.09,0,allow,0,1,591,Web institucional,2024,7,14,0,4
2,2,21,0.12347575159796328,0.17,0,alert,0,0,397,Formulario de denuncias,2022,11,4,0,0
2,4,443,0.27390451766138546,0.02,0,deny,0,0,440,Web institucional,2022,4,30,0,0
2,0,80,1.4462937896794854,1.83,0,deny,0,1,79,Formulario de denuncias,2021,11,8,0,1
2,0,110,-1.0465257622286537,0.74,0,deny,0,0,473,Web institucional,2019,12,1,0,0
1,4,110,1.3937631094668619,0.47,0,deny,0,1,605,Formulario de denuncias,2022,10,20,0,2
3,4,110,1.7161104653170522,1.27,1,allow,0,1,214,Sistema de óptica,2024,2,2,0,3
2,0,8080,0.8971094056384202,3.0,1,allow,0,0,512,Formulario de denuncias,2022,7,22,0,6
4,2,80,0.29539434138473153,1.27,0,allow,0,0,445,Formulario de denuncias,2019,2,27,0,3
0,1,53,0.7824970124472415,2.36,0,deny,0,0,210,Formulario de denuncias,2022,5,2,0,0
2,1,53,-1.5240774005252322,4.74,0,allow,0,0,463,Sistema de óptica,2021,8,13,0,3
6,2,3389,1.3746610439349987,3.31,0,allow,0,0,350,Portal de constancias,2019,1,1,0,5
0,2,8080,0.03512869851309628,0.93,0,alert,0,0,26,Web institucional,2020,7,22,0,7
0,4,8080,-1.4428936220148139,2.47,0,allow,0,0,376,Web institucional,2020,5,20,0,2
1,0,53,-0.9486276763778552,1.37,0,deny,0,0,656,Formulario de denuncias,2021,2,9,0,4
1,3,21,-0.07232042010363386,2.01,0,allow,0,1,35,Sistema de óptica,2021,11,19,0,3
2,0,3306,0.7586194305324125,0.15,0,alert,0,0,365,Formulario de denuncias,2021,5,29,0,5
3,3,25,0.22137383744876185,1.78,0,allow,0,0,26,Web institucional,2021,9,12,0,3
1,1,443,-0.8340152831866764,0.6,0,allow,1,1,178,Formulario de denuncias,2023,9,10,0,5
6,0,3306,-1.414240523717019,1.95,0,allow,0,0,625,Formulario de denuncias,2024,2,27,0,2
4,4,443,-1.6936082321205175,0.81,0,deny,0,0,675,Sistema de óptica,2019,12,13,0,7
3,3,110,-0.8244642504207448,0.13,1,deny,0,0,605,Sistema de óptica,2024,6,6,0,2
1,1,8080,0.505517062235226,2.05,0,deny,1,0,80,Formulario de denuncias,2020,4,22,0,7
4,0,53,0.3885169108525643,2.14,1,allow,1,0,40,Formulario de denuncias,2019,12,15,0,7
2,4,80,1.4439060314880026,1.12,0,allow,0,1,10,Formulario de denuncias,2021,6,25,0,5
2,1,3389,-0.7194028899954976,1.03,0,alert,0,0,285,Sistema de óptica,2023,1,26,0,6
6,0,3306,-0.2943819319115428,0.02,1,deny,0,0,89,Formulario de denuncias,2023,7,5,0,7
6,1,22,-1.0775666187179314,2.64,0,allow,0,1,586,Sistema de óptica,2019,3,3,0,1
4,1,80,0.505517062235226,3.24,0,allow,0,1,694,Formulario de denuncias,2024,7,31,0,5
2,2,443,1.5131510190410065,3.7,0,deny,0,0,394,Web institucional,2019,5,3,0,0
6,2,3306,0.8971094056384202,0.3,0,alert,0,1,364,Sistema de óptica,2024,1,15,0,0
1,0,443,-0.776709086591087,11.39,1,allow,0,0,130,Web institucional,2021,4,20,0,6
4,0,25,0.6105784226604732,1.09,0,allow,1,0,64,Web institucional,2022,1,23,0,2
2,2,8080,-1.2017300446750419,3.29,0,deny,0,0,679,Formulario de denuncias,2023,3,29,0,2
2,1,3389,-0.8960969961652315,0.05,0,allow,0,0,131,Formulario de denuncias,2020,4,13,0,7
4,4,21,0.016026632981233146,0.75,0,allow,0,0,699,Sistema de óptica,2021,4,13,0,4
0,4,3306,-1.416628281908502,0.6,0,allow,0,1,171,Sistema de óptica,2022,9,4,0,2
2,4,3306,0.18555746457651848,1.2,1,deny,1,1,42,Portal de constancias,2023,3,5,0,1
4,3,443,-0.8984847543567145,10.78,1,alert,0,0,344,Portal de constancias,2024,4,24,0,3
2,1,25,1.6492532359555312,2.28,0,allow,0,0,405,Sistema de óptica,2020,8,12,0,7
5,2,25,0.10437368606610015,5.79,0,allow,0,0,370,Portal de constancias,2022,12,5,0,6
2,4,3306,0.5031293040437431,0.04,1,allow,0,0,77,Formulario de denuncias,2022,3,31,0,7
6,3,8080,-0.03889180542287337,1.75,0,allow,0,1,612,Web institucional,2020,4,22,0,6
4,2,21,-0.7194028899954976,0.12,0,allow,0,0,632,Sistema de óptica,2024,3,26,0,2
6,4,21,-1.6768939247801373,0.51,0,allow,0,1,268,Formulario de denuncias,2020,5,2,0,7
1,0,22,-0.268116591805231,6.01,0,allow,0,0,579,Sistema de óptica,2024,7,23,0,2
2,3,8080,1.324518121913858,0.52,0,deny,0,0,416,Sistema de óptica,2021,5,13,0,5
2,0,443,0.5222313695756062,5.52,0,allow,0,0,26,Portal de constancias,2024,9,22,0,5
0,3,3306,0.2022717719168987,4.61,0,allow,0,0,291,Formulario de denuncias,2024,2,21,0,5
2,1,22,0.5532722260648838,1.92,1,deny,0,0,597,Portal de constancias,2024,7,22,0,0
2,3,3306,-0.043667321805839154,4.05,0,deny,0,1,458,Web institucional,2021,8,28,0,1
2,4,3389,0.9711299095743899,1.4,0,allow,0,0,524,Sistema de óptica,2021,6,17,0,7
3,0,80,-1.2041178028665247,0.72,1,allow,0,0,154,Web institucional,2023,11,11,0,6
5,0,80,1.1645383230845041,0.16,0,allow,1,1,580,Web institucional,2021,10,27,0,4
3,4,25,-0.3684024358475125,0.41,0,allow,0,1,221,Formulario de denuncias,2022,9,2,0,3
6,0,21,1.4916611953176604,6.97,0,allow,0,0,68,Web institucional,2022,11,14,0,6
2,3,53,-0.752831504676258,3.72,0,allow,0,0,62,Portal de constancias,2023,8,20,0,4
1,1,443,-0.9581787091437868,0.11,0,deny,0,0,226,Portal de constancias,2020,7,22,0,0
0,4,3389,-0.9701175001012012,0.44,0,allow,1,0,326,Formulario de denuncias,2024,11,15,0,5
4,2,21,-1.7413633959501753,0.89,0,allow,0,0,644,Portal de constancias,2024,11,22,0,0
2,1,25,0.33837398883142356,1.07,0,allow,0,0,268,Sistema de óptica,2023,11,19,0,4
0,4,53,1.6492532359555312,5.5,1,allow,0,0,314,Portal de constancias,2019,3,15,0,5
6,2,8080,-0.3827289849964098,1.13,0,allow,0,1,88,Sistema de óptica,2020,10,25,0,1
6,0,25,1.5298653263813866,1.88,0,deny,0,0,271,Portal de constancias,2024,10,4,0,3
6,3,53,0.7992113197876217,2.35,0,deny,0,1,595,Formulario de denuncias,2020,8,6,0,5
4,2,3389,0.3455372634058722,1.04,0,allow,1,0,18,Sistema de óptica,2019,10,1,0,2
2,4,25,-1.0298114548882735,1.14,0,alert,0,1,274,Web institucional,2024,2,11,0,3
3,0,22,-1.3640976016958783,1.95,0,alert,0,0,18,Portal de constancias,2023,2,17,0,1
2,1,22,-0.9605664673352696,0.38,0,allow,1,0,651,Sistema de óptica,2022,1,27,0,3
6,0,53,1.5394163591473182,3.5,0,allow,0,1,349,Web institucional,2022,3,6,0,3
0,4,22,0.4792517221289142,1.15,1,alert,0,1,655,Formulario de denuncias,2022,5,12,0,6
2,2,80,-0.21319815340112447,0.66,0,allow,0,1,432,Portal de constancias,2020,10,24,0,3
6,0,3389,-0.776709086591087,1.48,1,deny,1,0,106,Portal de constancias,2024,5,22,0,3
0,1,21,-1.2041178028665247,0.33,0,allow,0,0,69,Web institucional,2022,6,12,0,7
4,4,80,1.7256614980829839,1.21,1,allow,1,1,258,Sistema de óptica,2019,4,24,0,1
2,3,21,-1.6530163428653084,1.08,1,deny,0,0,311,Web institucional,2022,9,2,0,3
3,2,110,-0.3922800177623414,2.39,0,deny,0,0,323,Portal de constancias,2019,11,1,0,4
4,2,21,1.479722404360246,3.98,0,allow,1,0,491,Sistema de óptica,2024,1,26,0,5
2,2,53,1.6635797851044285,0.13,0,allow,0,0,110,Sistema de óptica,2019,10,26,0,5
1,2,443,-1.6840571993545859,2.0,0,deny,0,0,543,Portal de constancias,2024,4,27,0,6
2,2,3306,-0.755219262867741,0.86,0,allow,0,1,329,Portal de constancias,2023,4,28,0,7
0,0,22,-1.414240523717019,6.58,0,deny,0,1,384,Web institucional,2019,11,1,0,3
2,4,22,1.4224162077646565,0.35,0,deny,0,0,538,Portal de constancias,2021,1,11,0,1
3,1,25,0.2357003865976592,0.2,0,allow,0,0,129,Formulario de denuncias,2022,8,6,0,7
4,2,110,-0.10336127659291146,0.85,1,deny,0,1,302,Portal de constancias,2020,8,9,0,4
6,0,25,-0.865056139675954,3.22,0,deny,0,0,270,Sistema de óptica,2024,4,18,0,2
1,4,443,0.3216596814910433,0.63,0,deny,0,1,64,Web institucional,2020,3,30,0,1
2,2,80,0.6726601356390284,1.26,0,allow,0,0,269,Sistema de óptica,2019,6,22,0,6
2,2,25,0.24763917755507367,7.14,0,deny,0,0,295,Web institucional,2020,2,16,0,5
2,0,3389,-1.7174858140353464,2.72,1,allow,0,1,333,Formulario de denuncias,2020,12,1,0,3
4,0,443,0.9830687005318044,1.29,0,allow,0,1,681,Sistema de óptica,2023,9,11,0,4
3,1,8080,1.2266200360630595,4.36,0,allow,0,0,441,Web institucional,2019,12,1,0,5
2,0,3389,0.5031293040437431,2.23,0,allow,1,0,342,Sistema de óptica,2020,5,2,0,1
6,3,443,1.3865998348924131,1.84,0,alert,0,0,436,Sistema de óptica,2023,11,7,0,7
6,2,80,0.5198436113841234,7.72,0,allow,0,0,222,Formulario de denuncias,2020,5,8,0,0
2,4,110,1.3603344947861014,0.37,0,allow,0,1,591,Formulario de denuncias,2019,11,28,0,5
4,1,53,-0.9868318074415815,1.24,1,allow,0,1,384,Sistema de óptica,2019,10,22,0,6
2,4,443,1.2648241671267857,4.34,0,allow,0,0,690,Sistema de óptica,2023,8,1,0,4
6,0,443,-0.7385049555273607,4.69,0,deny,0,0,367,Portal de constancias,2021,9,6,0,6
6,4,3389,1.233783310637508,1.5,0,deny,0,0,99,Formulario de denuncias,2022,4,27,0,7
6,1,80,-1.7127102976523807,3.74,0,allow,0,0,440,Formulario de denuncias,2023,1,5,0,0
0,0,8080,-1.001158356590479,1.28,0,deny,0,0,690,Web institucional,2022,11,5,0,4
0,2,22,0.4147822509588761,4.8,0,deny,0,0,584,Formulario de denuncias,2021,6,5,0,0
6,0,3306,-0.16544298957146664,1.02,0,allow,0,0,536,Formulario de denuncias,2020,4,26,0,4
1,0,110,-0.4137698414856874,0.44,0,allow,0,0,70,Web institucional,2019,12,3,0,3
6,2,8080,-0.34213709574120066,1.42,1,allow,0,0,672,Web institucional,2020,2,8,0,3
0,0,80,0.4792517221289142,0.58,1,allow,0,1,517,Web institucional,2022,5,7,0,5
6,0,53,0.8971094056384202,0.93,0,allow,1,0,215,Formulario de denuncias,2019,10,2,0,6
6,4,25,-0.6477701442510109,2.01,0,allow,0,1,696,Web institucional,2023,3,21,0,1
6,4,80,-1.0751788605264485,0.09,0,deny,0,0,660,Portal de constancias,2023,9,25,0,6
2,2,80,-0.1773817805288811,2.23,0,allow,0,1,216,Formulario de denuncias,2021,8,7,0,4
1,2,3389,1.2313955524460252,1.03,0,allow,0,0,208,Portal de constancias,2021,1,24,0,0
3,2,80,-1.1754647045687299,5.79,1,alert,0,1,182,Formulario de denuncias,2024,7,27,0,4
6,2,80,-0.37795346861344403,2.45,1,deny,0,1,640,Formulario de denuncias,2023,8,16,0,1
5,0,22,0.25719021032100525,0.38,0,allow,0,0,158,Sistema de óptica,2021,5,8,0,5
1,1,22,0.8541297581917282,0.52,0,allow,0,0,27,Web institucional,2020,9,18,0,4
3,0,21,1.4248039659561393,1.47,0,deny,1,0,547,Web institucional,2019,10,18,0,2
1,3,8080,0.41955776734184186,3.1,0,allow,0,1,453,Web institucional,2023,10,9,0,2
2,3,80,0.8326399344683821,0.97,0,deny,1,0,331,Portal de constancias,2022,2,6,0,3
6,3,25,1.6850696088277746,3.61,1,allow,0,1,638,Portal de constancias,2019,9,10,0,2
2,1,53,-1.2351586593558022,2.01,1,allow,0,0,438,Formulario de denuncias,2020,4,2,0,3
6,1,21,-1.6004856626526847,0.55,0,deny,0,0,387,Formulario de denuncias,2019,9,10,0,3
2,4,3389,0.34314950521438936,1.89,0,deny,0,0,552,Formulario de denuncias,2022,4,21,0,7
6,2,443,-0.3851167431878927,0.96,0,deny,0,0,336,Web institucional,2022,7,29,0,7
2,2,21,1.011721798829599,0.98,1,deny,0,1,441,Portal de constancias,2022,12,25,0,5
5,0,25,-1.5360161914826467,0.49,1,allow,0,1,208,Formulario de denuncias,2020,1,17,0,4
2,2,21,-0.6047904968043187,0.43,0,deny,0,0,439,Formulario de denuncias,2023,4,16,0,6
2,1,21,1.4725591297857972,0.6,0,deny,0,1,238,Sistema de óptica,2021,9,10,0,3
5,0,8080,-0.4185453578686532,3.53,0,alert,0,0,448,Formulario de denuncias,2023,9,15,0,0
6,3,110,1.037987138935911,2.11,1,allow,0,0,74,Formulario de denuncias,2023,5,9,0,2
6,4,3389,0.03751645670457917,6.47,1,alert,0,0,558,Portal de constancias,2021,2,2,0,2
2,1,443,1.035599380744428,1.48,0,allow,0,0,23,Sistema de óptica,2019,3,22,0,6
6,3,22,1.3555589784031354,0.9,1,alert,0,1,202,Web institucional,2019,7,19,0,3
6,4,21,-0.6310558369106306,1.03,1,allow,0,1,381,Formulario de denuncias,2022,5,21,0,4
4,1,22,-1.1181585079731404,0.54,0,allow,0,1,276,Formulario de denuncias,2024,12,24,0,0
2,4,21,-1.6052611790356506,1.62,1,allow,0,1,312,Sistema de óptica,2024,11,5,0,6
1,4,8080,-1.0369747294627223,5.26,0,deny,0,0,421,Web institucional,2023,8,21,0,4
3,1,110,-0.2609533172307823,1.01,0,allow,0,0,489,Sistema de óptica,2024,12,9,0,4
